Year,Paper Title,Abstract,Authors,DOI,Paper PDF,Video URL,Project Page,Conference
-1,Personal Fabrication,"In this journal paper, we survey the related work in HCI and Computer Graphics over the last five years and
	provide a roadmap for future research. The question we try to answer is whether the technology will further
	progress towards consumers, which would allow the technology to scale from hundreds of thousands of users to
	hundreds of millions of users. Our analysis reveals that a transition to consumers first requires a hardware +
	software system that embodies the skills and expert knowledge that consumers lack [...]",Patrick Baudisch and Stefanie Mueller.,http://www.nowpublishers.com/article/Details/HCI-055,dl/personal-fabrication.pdf,,,
2004,Making papercraft toys from meshes using strip-based approximate unfolding (ACM SIGGRAPH 2004),"We propose a new method for producing unfolded papercraft patterns of rounded toy animal figures from triangulated meshes by means of strip-based approximation. Although in principle a triangulated model can be unfolded simply by retaining as much as possible of its connectivity while checking for intersecting triangles in the unfolded plane, creating a pattern with tens of thousands of triangles is unrealistic. Our approach is to approximate the mesh model by a set of continuous triangle strips with no internal vertices. Initially, we subdivide our mesh into parts corresponding to the features of the model.  [...]",Jun Mitani and Hiromasa Suzuki,http://dl.acm.org/citation.cfm?id=1015711,http://mitani.cs.tsukuba.ac.jp/dl/mitani_2004_siggraph_papercraft.pdf,,,ACM SIGGRAPH 2004
2006,A compact factored representation of heterogeneous subsurface scattering (ACM SIGGRAPH 2006),"In this paper, we address the problem of acquiring and compactly representing the spatial component of heterogeneous subsurface scattering functions. We propose a material model based on matrix factorization that can be mapped onto arbitrary geometry, and, due to its compact form, can be incorporated into most visualization systems with little overhead. We present results of several real-world datasets that are acquired using a projector and a digital camera.  [...]","Pieter Peers, Karl vom Berge, Wojciech Matusik, Ravi Ramamoorthi, Jason Lawrence, Szymon Rusinkiewicz, and Philip Dutré",http://dl.acm.org/citation.cfm?id=1141950,https://cseweb.ucsd.edu/~ravir/bssrdf.pdf,,http://people.csail.mit.edu/wojciech/CompactBSSRDF/,ACM SIGGRAPH 2006
2007,Plushie: an interactive design system for plush toys (ACM SIGGRAPH 2007),"We introduce Plushie, an interactive system that allows nonprofessional users to design their own original plush toys. To design a plush toy, one needs to construct an appropriate two-dimensional (2D) pattern.
	However, it is difficult for non-professional users to appropriately design a 2D pattern. [...]",Yuki Mori and Takeo Igarashi,http://dx.doi.org/10.1145/1275808.1276433,http://www-ui.is.s.u-tokyo.ac.jp/~takeo/papers/mori_siggraph2007_plushie.pdf,https://www.youtube.com/watch?v=rbQWxL-_8LU,http://www.geocities.jp/igarashi_lab/plushie/index-e.html,ACM SIGGRAPH 2007
2009,Fabricating microgeometry for custom surface reflectance (ACM SIGGRAPH 2009),"We propose a system for manufacturing physical surfaces that, in aggregate, exhibit a desired surface appearance.
	Our system begins with a user specification of a BRDF, or simply a highlight shape,
	and infers the required distribution of surface slopes.
	We demonstrate a variety of surfaces, ranging from reproductions of measured BRDFs to materials with unconventional highlights.
	[...]","Tim Weyrich, Pieter Peers, Wojciech Matusik, and Szymon Rusinkiewicz",http://dx.doi.org/10.1145/1531326.1531338,http://gfx.cs.princeton.edu/gfx/pubs/Weyrich_2009_FMF/weyrich09fabricating.pdf,,http://reality.cs.ucl.ac.uk/projects/mmill/weyrich09fabricating.html,ACM SIGGRAPH 2009
2009,"The ModelCraft framework: Capturing freehand annotations and edits to facilitate the 3D model design process using a digital pen (ACM CHI 2009, ACM ToCHI 2009)","ModelCraft supports a wide range of operations on complex models,
	from editing a model to assembling multiple models, and offers physical tools to
	capture free-space input. Several interviews and a formal study with the potential
	users of our system proved the ModelCraft system useful. Our system is inexpensive,
	requires no tracking infrastructure or per object calibration,
	and we show how it could be extended seamlessly to use current 3D printing technology. [...]","Hyunyoung Song, François Guimbretière, and Hod Lipson",http://dx.doi.org/10.1145/1592440.1592443,http://www.cs.cornell.edu/~francois/Papers/ModelCraftToCHI.pdf,,,"ACM CHI 2009, ACM ToCHI 2009"
2009,Interactive Cover Design Considering Physical Constraints (EUROGRAPHICS 2009),"We developed an interactive system to design a customized cover for a given three-dimensional (3D)
	object such as a camera, teapot, or car. The system first computes the convex hull of the input geometry.
	The user segments it into several cloth patches by drawing on the 3D surface. [...]","Yuki Igarashi, Takeo Igarashi, and Hiromasa Suzuki",http://dx.doi.org/10.1111/j.1467-8659.2009.01575.x,http://www-ui.is.s.u-tokyo.ac.jp/~takeo/papers/yuki_pg09_wrappy.pdf,https://www.youtube.com/watch?v=2wXqnP-aH5o,http://www.geocities.jp/igarashi_lab/wrappy/index-e.html,EUROGRAPHICS 2009
2010,CopyCAD: remixing physical objects with copy and paste from the real world (ACM UIST 2010),This paper introduces a novel technique for integrating geometry from physical objects into computer aided design (CAD) software. We allow users to copy arbitrary real world object geometry into 2D CAD designs at scale through the use of a camera/projector system. [...],"Sean Follmer, David Carr, Emily Lovell, and Hiroshi Ishii",http://dx.doi.org/10.1145/1866218.1866230,https://pdfs.semanticscholar.org/78fc/e4c740e23524db758a885ac2d1bcad3c906f.pdf,,,ACM UIST 2010
2010,Design and Fabrication of Materials with Desired Deformation Behavior (ACM SIGGRAPH 2010),"This paper introduces a data-driven process for designing and fabricating materials with desired deformation behavior. Our process starts with measuring deformation properties of base materials. For each base material we acquire a set of example deformations, and we represent the material as a non-linear stress-strain relationship in a finite-element model.   [...]","Bernd Bickel, Moritz Bächer, Miguel A. Otaduy, Hyunho Richard Lee, Hanspeter Pfister, Markus Gross, and Wojciech Matusik",http://dl.acm.org/citation.cfm?id=1778800,http://vcg.seas.harvard.edu/files/pfister/files/mat_fab_sig10.pdf,https://www.youtube.com/watch?v=v_DchIuoLtw,https://graphics.ethz.ch/publications/papers/paperBic10.php,ACM SIGGRAPH 2010
2010,Fabricating spatially-varying subsurface scattering (ACM SIGGRAPH 2010),"In this paper, we present a complete solution for fabricating a material volume with a desired surface BSSRDF. We stack layers from a fixed set of manufacturing materials whose thickness is varied spatially to reproduce the heterogeneity of the input BSSRDF.   [...]","Yue Dong, Jiaping Wang, Fabio Pellacini, Xin Tong, and Baining Guo",http://dl.acm.org/citation.cfm?id=1778799,http://research.microsoft.com/en-us/um/people/yuedong/project/fabscat/a62dong.pdf,https://www.youtube.com/watch?v=D-GGtmBA0iw,http://research.microsoft.com/en-us/um/people/yuedong/project/fabscat/fabscat.htm,ACM SIGGRAPH 2010
2010,Physical Reproduction of Materials with Specified Subsurface Scattering (ACM SIGRAPH 2010),"We describe a mathematical model that predicts the profiles of different stackings of base materials, at arbitrary thicknesses. In an inverse process, we can then specify a desired reflection profile and compute a layered composite material that best approximates it. Our algorithm efficiently searches the space of possible combinations of base materials, pruning unsatisfactory states imposed by physical constraints. We validate our process by producing both homogeneous and heterogeneous composites fabricated using a multi-material 3D printer. [...]","Milos Hasan, Martin Fuchs, Wojciech Matusik, Hanspeter Pfister, and Szymon Rusinkiewicz",http://dl.acm.org/citation.cfm?id=1778798,https://people.csail.mit.edu/wojciech/PRO/PRO.pdf,,https://people.csail.mit.edu/wojciech/PRO/index.html,ACM SIGRAPH 2010
2010,Spatial sketch: bridging between movement & fabrication (ACM TEI 2010),"This paper explores the rationale and details behind the development of the Spatial Sketch application,
	and presents our observations from user testing and a hands-on lamp shade design workshop.
	Finally we reflect upon the relevance of
	embodied forms of human computer interaction for use in digital fabrication. [...]","Karl D.D. Willis, Juncong Lin, Jun Mitani, and Takeo Igarashi",http://dx.doi.org/10.1145/1709886.1709890,http://www.jst.go.jp/erato/igarashi/projects/SpatialSketch/SpatialSketch12.pdf,https://www.youtube.com/watch?v=Kdyc4Q4A5TA,http://www.jst.go.jp/erato/igarashi/en/projects/SpatialSketch/,ACM TEI 2010
2010,Designing Custommade Metallophone with Concurrent Eigenanalysis (NIME 2010),"We introduce an interactive interface for the custom design of metallophones.
	The shape of each plate must be determined
	in the design process so that the metallophone will produce the proper tone when struck with a mallet.
	Our system addresses this problem by running a concurrent numerical eigenanalysis during interactive geometry editing. [...]","Nobuyuki Umetani, Kenshi Takayama, Jun Mitani, and Takeo Igarashi",http://www.jst.go.jp/erato/igarashi/projects/metallophone/2010-nime.pdf,,https://www.youtube.com/watch?v=7TfMgwuDHS4,http://www.jst.go.jp/erato/igarashi/en/projects/metallophone/,NIME 2010
2011,Slices: a shape-proxy based on planar sections (ACM SIGGRAPH Asia 2011),"We explore the use of planar sections, i.e., the contours of intersection of planes with a 3D object, for creating shape abstractions, motivated by their popularity in art and engineering. We first perform a user study to show that humans do define consistent and similar planar section proxies for common objects. Interestingly, we observe a strong correlation between user-defined planes and geometric features of objects. [...]","James McCrae, Karan Singh, and Niloy J. Mitra",http://dl.acm.org/citation.cfm?id=2024202,http://vecg.cs.ucl.ac.uk/Projects/SmartGeometry/slices/paper_docs/slices_siggA_11_large.pdf,,http://www.dgp.toronto.edu/~mccrae/projects/slices/,ACM SIGGRAPH Asia 2011
2011,Sensitive Couture for Interactive Garment Editing and Modeling (ACM SIGGRAPH 2011),"We present a novel interactive tool for garment design that enables, for the first time,
	interactive bidirectional editing between 2D patterns and 3D high-fidelity simulated draped forms.
	This provides a continuous, interactive, and natural design modality in which 2D and 3D representations are
	simultaneously visible and seamlessly maintain correspondence. [...]","Nobuyuki Umetani, Danny M. Kaufman, Takeo Igarashi, Eitan Grinspun.",https://doi.org/10.1145/2010324.1964985,http://www.cs.columbia.edu/cg/pdfs/179-SC.pdf,http://www.cs.columbia.edu/cg/SC/sc.mov,http://www.cs.columbia.edu/cg/SC/,ACM SIGGRAPH 2011
2011,Converting 3D furniture models to fabricatable parts and connectors (ACM SIGGRAPH 2011),"Although there is an abundance of 3D models available, most of them exist only in virtual simulation and are not immediately usable as physical objects in the real world. We solve the problem of taking as input a 3D model of a man-made object, and automatically generating the parts and connectors needed to build the corresponding physical object. We focus on furniture models, and we define formal grammars for IKEA cabinets and tables. We perform lexical analysis to identify the primitive parts of the 3D model. [...]","Manfred Lau, Akira Ohgawara, Jun Mitani, and Takeo Igarashi",http://dl.acm.org/citation.cfm?id=1964980,http://www.jst.go.jp/erato/igarashi/projects/furniture/furniture.pdf,https://www.youtube.com/watch?v=xmo41-KnnFg,http://www.jst.go.jp/erato/igarashi/en/projects/furniture/,ACM SIGGRAPH 2011
2011,"GOAL-BASED CAUSTICS  (EUROGRAPHICS 2011, Computer Graphics Forum)","We propose a novel system for designing and manufacturing surfaces that produce desired caustic images when illuminated by a light source. Our system is based on a nonnegative image decomposition using a set of possibly overlapping anisotropic Gaussian kernels. We utilize this decomposition to construct an array of continuous surface patches, each of which focuses light onto one of the Gaussian kernels, either through refraction or reflection.  [...]","Marios Papas, Wojciech Jarosz, Wenzel Jakob, Szymon Rusinkiewicz, Wojciech Matusik, Tim Weyrich.
	
	
	We propose a novel system for designing and manufacturing surfaces that produce desired caustic images when illuminated by a light source. Our system is based on a nonnegative image decomposition using a set of possibly overlapping anisotropic Gaussian kernels. We utilize this decomposition to construct an array of continuous surface patches, each of which focuses light onto one of the Gaussian kernels, either through refraction or reflection.  [...]
	
	
	
	DOI    
	Paper    
	Video    
	Page",http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2011.01876.x/abstract,https://www.cs.dartmouth.edu/~wjarosz/publications/papas11goal.pdf,https://www.cs.dartmouth.edu/~wjarosz/publications/papas11goal.mp4,https://www.cs.dartmouth.edu/~wjarosz/publications/papas11goal.html,"EUROGRAPHICS 2011, Computer Graphics Forum"
2011,Interactive fabrication: new interfaces for digital fabrication (TEI 2011),"We present a series of prototype devices that use real-time input to fabricate physical form: Interactive Fabrication. Our work maps out the problem space of real-time control for digital fabrication devices, and examines where alternative interfaces for digital fabrication are relevant. We conclude by reflecting upon the potential of interactive fabrication and outline a number of considerations for future research in this area.  [...]","Karl D.D. Willis, Cheng Xu, Kuan-Ju Wu, Golan Levin, and Mark D. Gross",http://dl.acm.org/citation.cfm?id=1935716,http://www.karlddwillis.com/wp/wp-content/uploads/2010/05/TEI2011.pdf,https://www.youtube.com/watch?v=uK39dEBQU7c,https://mdgross.net/portfolio/interactive-fabrication/,TEI 2011
